City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Puerto Escondido,75,MX,1569986958,69,15.86,-97.07,82.4,4.63
Kieta,100,PG,1569986958,73,-6.22,155.63,82.22,3.74
Inhambane,84,MZ,1569986958,83,-23.87,35.38,62.16,4.94
San Ramon,100,NI,1569986958,98,12.92,-85.84,67.22,2.08
Ixtapa,90,MX,1569986959,100,20.71,-105.21,75,4.7
Kapaa,75,US,1569986959,70,22.08,-159.32,86,14.99
Bredasdorp,100,ZA,1569986959,93,-34.53,20.04,57,2.24
Torbay,90,CA,1569986697,80,47.66,-52.73,43,5.82
Vallenar,33,CL,1569986959,78,-28.58,-70.76,46.45,2.21
Tabas,0,IR,1569986959,26,33.6,56.92,69.8,4.7
Mount Gambier,9,AU,1569986959,25,-37.83,140.78,77,23.04
Barrow,54,AR,1569986960,90,-38.31,-60.23,39.68,5.91
Jamestown,0,AU,1569986960,15,-33.21,138.6,83.44,22.28
Oregon,40,US,1569986960,88,42.01,-89.33,79,8.05
Laguna,40,BZ,1569986960,94,16.17,-88.94,78.8,1.19
Rikitea,100,PF,1569986960,85,-23.12,-134.97,68.82,20.98
Fairbanks,90,US,1569986702,81,64.84,-147.72,44.6,6.93
Mecca,0,SA,1569986828,75,21.43,39.83,80.2,2.59
Klaksvik,37,FO,1569986960,81,62.23,-6.59,46.4,21.92
Mar del Plata,38,AR,1569986961,38,-46.43,-67.52,42.13,6.89
Khatanga,0,RU,1569986961,72,71.98,102.47,24.47,4.85
Yellowknife,40,CA,1569986930,93,62.45,-114.38,37.4,3.36
Ponta do Sol,0,BR,1569986961,57,-20.63,-46,68.91,3.27
Cidreira,1,BR,1569986961,77,-30.17,-50.22,70.03,11.95
Vaini,40,IN,1569986961,83,15.34,74.49,75.2,1.43
Thompson,5,CA,1569986961,79,55.74,-97.86,24.8,2.24
Kovdor,23,RU,1569986962,82,67.56,30.47,30.21,9.78
Tuktoyaktuk,90,CA,1569986931,93,69.44,-133.03,37.4,8.05
Sillod,20,IN,1569986962,88,20.3,75.65,73.4,4.7
Faanui,25,PF,1569986962,77,-16.48,-151.75,76.26,20.83
Avera,1,US,1569986962,83,33.19,-82.53,80.01,4.7
Mangai,54,CD,1569986962,87,-4.07,19.59,70.01,1.12
Yemelyanovo,0,RU,1569986962,56,56.17,92.69,41,8.95
Kokopo,100,PG,1569986963,88,-4.34,152.27,78.26,2.71
Uruzgan,0,AF,1569986963,27,32.93,66.63,55.68,2.62
Touros,20,BR,1569986963,83,-5.2,-35.46,73.4,6.93
Narsaq,100,GL,1569986963,27,60.91,-46.05,51.8,32.21
